	RBM47	RBM5	SRSF10	SRSF1	SRSF3	SRSF7	SRSF9	ELAVL1	PTBP1PTBP2	RBFOX2	RBM10	RBM15	RBM22	RBM27
Esd_4_e2	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Esd_4_se	1	0	0	1	1	2	1	1	1	1	1	0	0	0
Evi5l_1_e1	0	0	1	1	1	1	1	0	1	0	0	0	0	0
Evi5l_1_e2	0	1	0	0	2	0	0	0	1	1	0	0	1	0
Evi5l_1_se	0	2	0	0	1	0	0	0	0	2	0	2	3	1
Evl_3_e1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Evl_3_e2	0	2	0	0	0	0	0	0	1	2	0	1	2	2
Evl_3_se	0	2	0	1	2	0	0	0	0	3	0	1	2	0
Ewsr1_1_e1	2	0	2	1	2	0	1	2	0	1	0	0	0	0
Ewsr1_1_e2	1	2	2	1	2	0	0	1	0	2	1	1	2	1
Ewsr1_1_se	1	0	0	0	0	0	0	2	1	0	1	0	1	0
Ewsr1_2_e1	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Ewsr1_2_e2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ewsr1_2_se	3	0	0	0	2	0	0	2	3	0	0	0	0	0
Exoc1_3_e1	1	0	1	0	0	0	0	0	1	0	0	0	0	0
Exoc1_3_e2	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Exoc1_3_se	1	0	1	0	1	0	0	0	1	0	0	0	0	0
Exoc6b_6_e1	2	0	0	0	2	1	0	2	2	0	1	0	0	0
